paper_id,title,year,citation_count,references
W1970127494,Projector augmented-wave method,1994,88378,"['W562642092', 'W1030224692', 'W1641750576', 'W1968545719', 'W1968984139', 'W1971821930', 'W1985915253', 'W1988347626', 'W1992753351', 'W1994260363', 'W1997785740', 'W2000649820', 'W2005174827', 'W2010785223', 'W2014341412', 'W2016759160', 'W2017196167', 'W2025430787', 'W2026907619', 'W2027530487', 'W2029228724', 'W2030976617', 'W2032588197', 'W2034273838', 'W2036801653', 'W2039626632', 'W2039970342', 'W2045162530', 'W2045436111', 'W2045596260', 'W2046001409', 'W2052637367', 'W2055640329', 'W2057056131', 'W2058114759', 'W2060310070', 'W2068134289', 'W2073146166', 'W2076858582', 'W2076968034', 'W2077377413', 'W2079309236', 'W2083277947', 'W2084216510', 'W2087585288', 'W2089986522', 'W2090838661', 'W2094508448', 'W2106140689', 'W2115878464', 'W2120326715', 'W2121431463', 'W2145454068', 'W2161203696', 'W2230728100', 'W2316373089', 'W2323178299', 'W2476895063', 'W2495028175', 'W4229766111', 'W4250857793']"
W2131350133,A short history of<i>SHELX</i>,2007,86979,"['W350147152', 'W614374080', 'W1700519873', 'W1710565104', 'W1975217371', 'W1983732912', 'W1984148863', 'W1985900951', 'W1987372363', 'W1988600322', 'W1990481506', 'W1994293788', 'W1996607909', 'W2002567724', 'W2007078356', 'W2012580598', 'W2013944709', 'W2020429677', 'W2020554517', 'W2024773580', 'W2026838767', 'W2040361001', 'W2042414107', 'W2052673849', 'W2053793885', 'W2056474830', 'W2056645482', 'W2058518141', 'W2059300055', 'W2060358264', 'W2074986801', 'W2075766719', 'W2079204867', 'W2080251085', 'W2082345507', 'W2084901640', 'W2088473658', 'W2094170522', 'W2110528762', 'W2128179591', 'W2128237241', 'W2130676953', 'W2135464698', 'W2144081223', 'W2148066840', 'W2156464749', 'W2166437627', 'W2168230343', 'W2168467894', 'W2333477209', 'W2478447331', 'W4252515869']"
W3118615836,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021,86832,"['W118549185', 'W246286872', 'W600840809', 'W1528251861', 'W1598602811', 'W1617328014', 'W1913246108', 'W1965104586', 'W2005501262', 'W2007872832', 'W2012107441', 'W2012932483', 'W2022190222', 'W2031720106', 'W2050118439', 'W2066896354', 'W2093038967', 'W2093152548', 'W2096266245', 'W2124445109', 'W2134833483', 'W2135572748', 'W2143681456', 'W2144032281', 'W2147469877', 'W2156098321', 'W2161374186', 'W2163661402', 'W2169205464', 'W2208053283', 'W2263572070', 'W2342064264', 'W2396846174', 'W2468996569', 'W2531269403', 'W2567362164', 'W2576440140', 'W2588681363', 'W2604568423', 'W2616456691', 'W2752872022', 'W2756578555', 'W2762974940', 'W2765905280', 'W2766439930', 'W2772564313', 'W2779588463', 'W2785704959', 'W2791681873', 'W2891378911', 'W2895713118', 'W2903923633', 'W2914938986', 'W2917632902', 'W2944160460', 'W2949899843', 'W2953559630', 'W2961191798', 'W2961682569', 'W2968088578', 'W2970684805', 'W2972152141', 'W2973875029', 'W2988223630', 'W2989672233', 'W2990648940', 'W2990790246', 'W2991792334', 'W3006856936', 'W3022903699', 'W3041430913', 'W3123497531', 'W3123893780', 'W3126226315', 'W3127164948', 'W3211002328', 'W4256513592', 'W4294215472', 'W4313371821']"
W1901129140,U-Net: Convolutional Networks for Biomedical Image Segmentation,2015,86416,"['W1677182931', 'W1686810756', 'W1893585201', 'W1903029394', 'W1948751323', 'W1969013163', 'W2106146968', 'W2141273399', 'W2147800946', 'W2148349024', 'W2155893237', 'W2163605009', 'W2167510172']"
W2314225431,Molecular cloning: A laboratory manual,1990,86156,[]
W1522301498,Adam: A Method for Stochastic Optimization,2014,84466,"['W6908809', 'W35527955', 'W59018853', 'W104184427', 'W1491468723', 'W1598497354', 'W1810943226', 'W1904365287', 'W1984541135', 'W2086161653', 'W2100495367', 'W2113459411', 'W2143612262', 'W2146502635', 'W2148825261', 'W2156779765', 'W2160815625', 'W2950351588', 'W2951004968', 'W3176583243']"
W4300870773,Statistical Power Analysis for the Behavioral Sciences,1989,83853,[]
W2156098321,Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement,2009,82874,"['W160580327', 'W1490605517', 'W1522513710', 'W1560778466', 'W1590137713', 'W1690786713', 'W1774591799', 'W1853602163', 'W1971186240', 'W1972054739', 'W1980300818', 'W1982260074', 'W1983540313', 'W2000442546', 'W2012932483', 'W2015421910', 'W2029163232', 'W2043759984', 'W2058084426', 'W2065267852', 'W2066896354', 'W2067550511', 'W2068694980', 'W2068769841', 'W2093211493', 'W2093579014', 'W2098631889', 'W2100729569', 'W2102487800', 'W2112505828', 'W2116810060', 'W2129303461', 'W2129829737', 'W2132161915', 'W2133774931', 'W2134833483', 'W2135010675', 'W2140521029', 'W2144086043', 'W2147581820', 'W2158379591', 'W2159096825', 'W2163839878', 'W2165010366', 'W2599076725', 'W2811157820', 'W2912597760', 'W2918689133', 'W2982712704', 'W2986772077', 'W3022903699', 'W4240149506', 'W4254160334', 'W4285719527', 'W6679206833', 'W7073935243', 'W7074072182']"
W1951724000,Fitting Linear Mixed-Effects Models Using <b>lme4</b>,2015,82689,"['W348255556', 'W1231265883', 'W1520511539', 'W1549371580', 'W1587094587', 'W1756240476', 'W1770100412', 'W1864722563', 'W1967282477', 'W1972790352', 'W1981457167', 'W1981747359', 'W1983955927', 'W1991769471', 'W2018089423', 'W2033623507', 'W2045656233', 'W2068047481', 'W2070779353', 'W2082246284', 'W2089024363', 'W2094761105', 'W2097879961', 'W2100128674', 'W2105208711', 'W2129731748', 'W2145147745', 'W2149719430', 'W2149851338', 'W2155382668', 'W2165693128', 'W2172199324', 'W2413573154', 'W2500756573', 'W2582743722', 'W2798510847', 'W3031689935', 'W3086315876', 'W4248681815', 'W4285719527', 'W4302067479', 'W4323359902', 'W4399526077', 'W4399568367', 'W4399638382', 'W4399638802', 'W6662203318', 'W7042992136']"
W2099697766,The theory of planned behavior,1991,82222,"['W24637300', 'W131469073', 'W171375216', 'W173977985', 'W568022756', 'W606251570', 'W627516473', 'W637988527', 'W945484573', 'W1490774257', 'W1491644571', 'W1512664624', 'W1517229207', 'W1518638857', 'W1522816386', 'W1524589575', 'W1539896512', 'W1598189411', 'W1707403986', 'W1787891958', 'W1807256883', 'W1826164527', 'W1933814166', 'W1970609724', 'W1971469686', 'W1974928328', 'W1976501219', 'W1981018178', 'W1982210139', 'W1984175981', 'W1984314602', 'W1989787460', 'W1993177750', 'W1996443718', 'W1996906380', 'W2010134734', 'W2013267907', 'W2014927996', 'W2018697112', 'W2021485904', 'W2029120965', 'W2031630383', 'W2036389121', 'W2044110885', 'W2045458992', 'W2052166427', 'W2054291424', 'W2054643262', 'W2055642223', 'W2056877099', 'W2057286267', 'W2057733567', 'W2057747990', 'W2058653372', 'W2059637860', 'W2062121040', 'W2065090143', 'W2066099296', 'W2066424242', 'W2067048476', 'W2068454991', 'W2068678418', 'W2069693337', 'W2070202550', 'W2072463427', 'W2073642042', 'W2076178096', 'W2080334910', 'W2081478514', 'W2093002426', 'W2094942945', 'W2098688395', 'W2100826189', 'W2103591548', 'W2111230857', 'W2112490664', 'W2115124322', 'W2125272611', 'W2131639346', 'W2137369627', 'W2137524541', 'W2141779274', 'W2143848304', 'W2149183258', 'W2150633520', 'W2159306398', 'W2160036433', 'W2169122989', 'W2171858457', 'W2179683524', 'W2313184880', 'W2314112549', 'W2317722949', 'W2331363976', 'W2331902193', 'W2399753970', 'W2416868893', 'W2480853801', 'W2483760790', 'W2501659236', 'W2541111766', 'W2579555219', 'W2606066388', 'W2888190061', 'W2896328440', 'W2914819888', 'W3081595353', 'W3142911934', 'W3205132255', 'W3216696244', 'W4213479414', 'W4231350433', 'W4238957338', 'W4240718341', 'W4242163094', 'W4255743073', 'W4256281973', 'W4285719527', 'W4292808503', 'W4293176859', 'W6605357963', 'W6607078717', 'W6624819770', 'W6631183451', 'W6632363340', 'W6640472564', 'W6721343992', 'W6724330795', 'W6802343708', 'W6804651190', 'W7073832199']"
W2919115771,Deep learning,2015,79195,"['W146900863', 'W170811313', 'W1487583988', 'W1498436455', 'W1514535095', 'W1573503290', 'W1752712236', 'W1970689298', 'W1978592082', 'W1993845689', 'W1993882792', 'W1999497791', 'W1999798000', 'W2022508996', 'W2025768430', 'W2064675550', 'W2072128103', 'W2074551195', 'W2085989895', 'W2088338354', 'W2091987367', 'W2095739681', 'W2098580305', 'W2100495367', 'W2107878631', 'W2108069432', 'W2111304802', 'W2112796928', 'W2116360511', 'W2117671523', 'W2120284346', 'W2120432001', 'W2121289914', 'W2136922672', 'W2144015117', 'W2144354855', 'W2145339207', 'W2146989110', 'W2157331557', 'W2158778629', 'W2160815625', 'W2163922914', 'W2166206801', 'W2169488311', 'W2169805405', 'W2800394774', 'W3139812727', 'W4232280717', 'W4249882522', 'W6630820455', 'W6674914833', 'W6683738474', 'W6743198006']"
W1995875735,A Mathematical Theory of Communication,1948,79113,[]
W2164777277,The Measurement of Observer Agreement for Categorical Data,1977,77236,"['W70273200', 'W163425073', 'W399119108', 'W1526764490', 'W1693471592', 'W1928147381', 'W1964495738', 'W1965000394', 'W1965995507', 'W1968785420', 'W1969879564', 'W1974459553', 'W1975879668', 'W1979773093', 'W1981428665', 'W1989492805', 'W1989774929', 'W1990995083', 'W1994894143', 'W1995156089', 'W2002741572', 'W2011765263', 'W2021142183', 'W2028548753', 'W2037789405', 'W2038276605', 'W2048547093', 'W2050645552', 'W2053154970', 'W2058169185', 'W2063803293', 'W2069121806', 'W2073760305', 'W2088041869', 'W2092923243', 'W2095431598', 'W2100136835', 'W2104969481', 'W2105466325', 'W2111634776', 'W2113893630', 'W2119251604', 'W2120104378', 'W2122814783', 'W2123593957', 'W2124223956', 'W2127172625', 'W2130754215', 'W2133012565', 'W2133564174', 'W2137803678', 'W2138784405', 'W2139036774', 'W2144651140', 'W2144699561', 'W2145412125', 'W2153271127', 'W2159502598', 'W2160535853', 'W2160637457', 'W2161374186', 'W2165472034', 'W2170879500', 'W2171165467', 'W2214246042', 'W2225552683', 'W2281948170', 'W2287851705', 'W2304684629', 'W2324588294', 'W2327624260', 'W2330000496', 'W2330158446', 'W2333609365', 'W2334186876', 'W2344335470', 'W2464924628', 'W2514285594', 'W2531269403', 'W2532157753', 'W2583909922', 'W2598717986', 'W2766964341', 'W2776533520', 'W2794816219', 'W2795766380', 'W2798510847', 'W2810576341', 'W2911828373', 'W2921134459', 'W2963058425', 'W2970684805', 'W4246038340', 'W4294214797']"
W2163605009,ImageNet classification with deep convolutional neural networks,2017,75550,"['W1499991161', 'W1576445103', 'W1665214252', 'W1904365287', 'W2015861736', 'W2018435387', 'W2026942141', 'W2053229256', 'W2061212083', 'W2097117768', 'W2097356275', 'W2101926813', 'W2108069432', 'W2108598243', 'W2110764733', 'W2130325614', 'W2134557905', 'W2144161366', 'W2154579312', 'W2156163116', 'W2166049352', 'W2169805405', 'W2396976214', 'W2546302380', 'W2911964244', 'W3118608800']"
W1686810756,Very Deep Convolutional Networks for Large-Scale Image Recognition,2014,75407,"['W1482080565', 'W1527575280', 'W1576445103', 'W1598866093', 'W1606858007', 'W1827297289', 'W2037227137', 'W2102605133', 'W2108598243', 'W2147800946', 'W2155904486', 'W2161381512', 'W2167146493', 'W2168231600', 'W2179352600', 'W2950179405', 'W2950672966', 'W2950918464', 'W2951805548', 'W2952020226', 'W2952186347', 'W2952186574', 'W2952632681', 'W2953360861', 'W2953391683', 'W2962851944', 'W2963173190', 'W2963504252', 'W2963542991', 'W2963911037']"
W1527311855,Case Study Research: Design and Methods,1984,74930,[]
W4385245566,MizAR 60 for Mizar 50,2023,74522,[]
W2158714788,Gapped BLAST and PSI-BLAST: a new generation of protein database search programs,1997,74160,"['W639252573', 'W1479724966', 'W1498410508', 'W1501400124', 'W1574109141', 'W1652691445', 'W1659313070', 'W1768635289', 'W1965998064', 'W1969051510', 'W1970999032', 'W1973578915', 'W1973706463', 'W1975001431', 'W1975924111', 'W1981014117', 'W1983265703', 'W1983325631', 'W1983698816', 'W1985207059', 'W1985618229', 'W1988267054', 'W1988670311', 'W1988874269', 'W1991792981', 'W1997199912', 'W1998300401', 'W2000758249', 'W2002180966', 'W2002222815', 'W2004402674', 'W2014660704', 'W2015292449', 'W2017714068', 'W2018010122', 'W2022368654', 'W2025564727', 'W2026257220', 'W2029372233', 'W2033775040', 'W2035564383', 'W2036866029', 'W2045067706', 'W2048102092', 'W2051916497', 'W2054849588', 'W2055043387', 'W2056574818', 'W2056619794', 'W2060172156', 'W2061445402', 'W2061833373', 'W2062816762', 'W2068176376', 'W2068448872', 'W2074231493', 'W2074703985', 'W2076540369', 'W2085261163', 'W2086438703', 'W2087064593', 'W2094519647', 'W2099254366', 'W2108215151', 'W2109465247', 'W2115372161', 'W2122665495', 'W2127716074', 'W2130792460', 'W2143210482', 'W2146696273', 'W2156628505', 'W2161299051', 'W2163403085', 'W2164249947', 'W2405792454', 'W2432429035', 'W2600349519', 'W2601913882', 'W2602756222', 'W2913626918', 'W4239833500', 'W4246917063', 'W4248441758', 'W6600841777', 'W6601638961', 'W6602406103', 'W6603850445', 'W6604525367', 'W6607520151', 'W6609576645', 'W6610409228', 'W6640216992', 'W6775718262', 'W6812555247']"
W2106096361,Common method biases in behavioral research: A critical review of the literature and recommended remedies.,2003,73670,"['W3112059', 'W116609700', 'W145165948', 'W597191469', 'W642923558', 'W1660594717', 'W1782824561', 'W1873057782', 'W1897007643', 'W1966451786', 'W1972320590', 'W1972655304', 'W1973554919', 'W1979422830', 'W1980996468', 'W1981185734', 'W1982388982', 'W1986936900', 'W1989362746', 'W1989528006', 'W1990697028', 'W1993208043', 'W1994853321', 'W1994971752', 'W1995536240', 'W1997571096', 'W2001338645', 'W2002561323', 'W2004167653', 'W2004320408', 'W2004348505', 'W2006869005', 'W2008813908', 'W2008815151', 'W2012821420', 'W2013586220', 'W2014169941', 'W2014847711', 'W2018507693', 'W2020446903', 'W2020720804', 'W2020854338', 'W2021301441', 'W2021695148', 'W2024509488', 'W2024721544', 'W2026370699', 'W2027506795', 'W2029513820', 'W2030130848', 'W2030235029', 'W2033442452', 'W2036389121', 'W2037837115', 'W2038652613', 'W2040454190', 'W2040622755', 'W2042035715', 'W2042623233', 'W2044108207', 'W2044568981', 'W2045181804', 'W2046007695', 'W2046622454', 'W2047312496', 'W2047566617', 'W2048226819', 'W2049030568', 'W2050363530', 'W2052877371', 'W2054769817', 'W2055242050', 'W2056749799', 'W2058599614', 'W2059334100', 'W2059628842', 'W2059851708', 'W2060635400', 'W2061564019', 'W2061711744', 'W2065228212', 'W2070194468', 'W2070293564', 'W2070694889', 'W2071854134', 'W2072142057', 'W2075129888', 'W2078600182', 'W2081063940', 'W2081958427', 'W2083675669', 'W2087309183', 'W2087374250', 'W2088303462', 'W2089016366', 'W2089251484', 'W2090212281', 'W2090814489', 'W2092454443', 'W2092798394', 'W2097744999', 'W2098505100', 'W2099325598', 'W2102573486', 'W2103617890', 'W2106106608', 'W2106186145', 'W2114977094', 'W2115941580', 'W2124912589', 'W2127591318', 'W2128090963', 'W2134402147', 'W2136417436', 'W2136469196', 'W2136981413', 'W2139901480', 'W2140593155', 'W2141302415', 'W2150238850', 'W2150305036', 'W2151346990', 'W2152983331', 'W2154107054', 'W2154841656', 'W2154984563', 'W2156958714', 'W2159013703', 'W2159261557', 'W2161928604', 'W2313032153', 'W2334573687', 'W2495373952', 'W2498779411', 'W2781567914', 'W2784299539', 'W2905996356', 'W2963241992', 'W2966691287', 'W4234742737', 'W4237568451']"
W4292811746,"The moderator–mediator variable distinction in social psychological research: Conceptual, strategic, and statistical considerations.",1986,69839,[]
W2167279371,Fiji: an open-source platform for biological-image analysis,2012,68902,"['W1238092070', 'W1540070193', 'W1548529611', 'W1635391495', 'W1835740130', 'W1924015474', 'W1969013163', 'W1985072454', 'W2000396646', 'W2016029650', 'W2018227909', 'W2022235653', 'W2026140461', 'W2031312855', 'W2055043387', 'W2064043367', 'W2065455422', 'W2069981183', 'W2078930619', 'W2091733078', 'W2094574421', 'W2104095591', 'W2104827963', 'W2107554012', 'W2123813246', 'W2124404372', 'W2128339343', 'W2128366179', 'W2129289695', 'W2130623599', 'W2133990480', 'W2138825607', 'W2146153534', 'W2147762902', 'W2149404019', 'W2151103935', 'W2154917588', 'W2156755609', 'W2162979438', 'W2166572577', 'W2171911690', 'W2991126964']"
W2036113194,Special points for Brillouin-zone integrations,1976,68844,"['W101994233', 'W1975654903', 'W2013782770', 'W2075699404']"
W2131271579,Trimmomatic: a flexible trimmer for Illumina sequence data,2014,67949,"['W2036897871', 'W2093931624', 'W2094100452', 'W2103441770', 'W2103903744', 'W2139437267', 'W2157701114', 'W2158395749', 'W2160969485', 'W2170551349']"
W2024556021,A Revised Medium for Rapid Growth and Bio Assays with Tobacco Tissue Cultures,1962,67168,"['W1969809410', 'W1989273657', 'W1996964415', 'W2007778094', 'W2025807006', 'W2038454257', 'W2040107245', 'W2041229548', 'W2048419279', 'W2049859698', 'W2061717299', 'W2071434895', 'W3193005246', 'W4241089503', 'W4245969594', 'W4255005554']"
W2108234281,The Sequence Alignment/Map format and SAMtools,2009,66226,"['W2103903744', 'W2112113834', 'W2124985265', 'W2128016314']"
W2107031757,Statistical power analysis for the behavioral sciences,1990,65651,[]
W4211007335,Fuzzy sets,1965,65262,"['W1483568252', 'W6815558393', 'W7048190923']"
W4235678817,Evaluating Structural Equation Models with Unobservable Variables and Measurement Error,1981,65034,"['W1967304040', 'W1983353224', 'W1983799715', 'W1990967863', 'W1992231362', 'W2002240385', 'W2002429615', 'W2005423324', 'W2008159408', 'W2011058027', 'W2012691952', 'W2024509488', 'W2025341678', 'W2030741364', 'W2032678625', 'W2038859824', 'W2064660410', 'W2068700945', 'W2078361854', 'W2083918828', 'W2085512328', 'W2091130898', 'W2116958223', 'W2124634097', 'W2147844420', 'W2149608872', 'W2158971894', 'W2315698671', 'W2317858760', 'W2318314868', 'W2334078103', 'W3022438483']"
W2029667189,VMD: Visual molecular dynamics,1996,64804,"['W1515381348', 'W1966041739', 'W1982338804', 'W2008983937', 'W2012879549', 'W2016237935', 'W2049521571', 'W2051025571', 'W2071657576', 'W2075319474', 'W2078248419', 'W2082336658', 'W2106315897', 'W2134342348', 'W2156871002', 'W2162166182', 'W6654245867']"
W2099540110,NIH Image to ImageJ: 25 years of image analysis,2012,63641,"['W565449262', 'W1532532969', 'W1540070193', 'W1969293071', 'W2031502025', 'W2037586865', 'W2037947871', 'W2107554012', 'W2121469024', 'W2129047745', 'W2154592269', 'W2166771618', 'W2167279371']"
W2101234009,Scikit-learn: Machine Learning in Python,2012,63391,"['W1496508106', 'W1571024744', 'W2024933578', 'W2035776949', 'W2040387238', 'W2047804403', 'W2063978378', 'W2097360283', 'W2097850441', 'W2118585731', 'W2146292423', 'W2152799677', 'W2153635508']"
W1791587663,"Perceived Usefulness, Perceived Ease of Use, and User Acceptance of Information Technology",1989,62297,"['W14811016', 'W32778052', 'W89327545', 'W157213131', 'W1484020476', 'W1494692966', 'W1506758482', 'W1520103841', 'W1557992034', 'W1568763412', 'W1589374311', 'W1778357938', 'W1969889344', 'W1972888601', 'W1978794113', 'W1979230803', 'W1980336349', 'W1982210139', 'W1983629797', 'W1984031609', 'W1988410705', 'W1990810281', 'W1991691398', 'W1992950539', 'W1993652438', 'W2002736445', 'W2006877955', 'W2007275742', 'W2008059748', 'W2008710914', 'W2011976980', 'W2014646675', 'W2018275043', 'W2020243100', 'W2020379924', 'W2021794857', 'W2024509488', 'W2026087162', 'W2033020274', 'W2033943395', 'W2036389121', 'W2037021532', 'W2037057633', 'W2038375661', 'W2045396061', 'W2046055978', 'W2047212654', 'W2047268046', 'W2053665053', 'W2053755640', 'W2064341285', 'W2067408842', 'W2068509181', 'W2068901215', 'W2071466878', 'W2072889183', 'W2076204247', 'W2081680314', 'W2085500782', 'W2088716340', 'W2088983290', 'W2089258835', 'W2090791923', 'W2092488901', 'W2111230857', 'W2115498674', 'W2118682757', 'W2131664240', 'W2141895848', 'W2142192310', 'W2142295476', 'W2146852622', 'W2151844074', 'W2154163681', 'W2168191910', 'W2169082151', 'W2169294099', 'W2263570753', 'W2489202599', 'W2797816625', 'W2921065172', 'W3124865537', 'W3194470864', 'W4212847552', 'W4233433191', 'W4247541400', 'W4247553730', 'W4248223323', 'W4256052170', 'W4285719527']"
